,Virginia,Florida,California,New York,New Jersey,Oregon,Arizona,Washington,Indiana,Texas,Wisconsin,West Virginia,Utah,Pennsylvania,North Carolina,Massachusetts,Nevada,Rhode Island,Colorado,Michigan,Hawaii,Maryland,the District of Columbia,Minnesota,Tennessee,New Hampshire,Kansas,Ohio,South Carolina,Georgia,Oklahoma,New Mexico,Iowa,Missouri,Illinois,South Dakota,Vermont,Wyoming,Montana,Alabama,Connecticut,Delaware,Idaho,North Dakota,Nebraska,Mississippi,Alaska,Arkansas,Louisiana,Kentucky,Maine
1/1/00,122735.3782,107306.7607,189260.5805,153890.0618,169003.1971,150915.0042,134650.0737,173916.6766,97937.04608,110479.8719,119285.159,73004.1637,167981.7612,98186.49316,127797.0009,194210.9142,153547.6726,130890.2009,174333.7444,116629.596,195977.7541,150339.5712,160017.0076,125599.3988,109744.9449,132498.1144,88195.01726,105427.7779,112254.0524,123013.0935,81296.38489,,90742.26822,96082.42861,127079.1511,107268.4636,115434.3262,,,98478.40838,162959.4694,146928.8129,121070.4613,,114402.4323,85594.82066,132985.4107,86100.53415,102515.3909,85522.11632,108320.2112
2/1/00,123052.9722,107539.1972,189896.7418,154438.0616,169458.7704,151246.8823,134893.9645,174308.9698,97802.3849,110539.9095,119250.5389,73001.03873,168073.7956,98396.50663,127991.4275,194859.3198,153566.8666,131485.4783,174952.755,116693.8328,195887.0828,150318.7195,160540.3886,126022.171,109836.4951,132948.2313,88212.33011,105492.2038,112501.8641,123292.435,81329.91985,,90915.67244,96195.04462,127180.9932,107040.5536,115627.618,,,98649.89473,163580.3026,147157.4004,120997.0665,,114585.3093,85547.87777,133136.454,86215.60341,102713.1338,85566.27097,108680.5946
3/1/00,123389.6964,107820.9564,190755.7153,154965.5998,169893.4676,151550.0763,135207.8566,174709.1439,97651.13878,110569.0287,119383.9867,73024.63593,168218.2894,98593.86288,128191.683,195630.8202,153804.5168,132110.6176,175636.8256,116929.0081,196187.8691,150425.2398,161283.0123,126415.5117,109929.8663,133485.5623,88314.32765,105589.9092,112703.793,123614.7484,81486.23707,,91079.37328,96363.64906,127401.1295,106721.6103,115931.176,,,98764.79393,164228.5556,147442.0124,121043.5686,,114754.8026,85545.83557,133287.4183,86346.15918,102866.7967,85646.60854,109002.3709
4/1/00,124025.9932,108393.7006,192620.2908,156100.191,170856.5531,152186.3087,135848.806,175516.7975,97191.36693,110713.5498,119575.6306,73084.36183,168580.8268,98996.04493,128626.0726,197150.3506,154349.1345,133345.7907,177166.3831,117397.4764,196709.6343,150682.2764,162875.3504,127338.8308,110154.5099,134292.1707,88466.80686,105877.2165,113166.6855,124293.3596,81770.88252,,91432.96263,96749.04099,127918.9973,106291.709,116527.6496,,,99022.20252,165326.824,148092.9137,121140.1174,,115017.9078,85607.54491,133464.4642,86624.91684,103213.221,85846.25477,109711.2626
5/1/00,124640.268,109011.3435,194787.5788,157274.0873,171838.3431,152753.6927,136575.3312,176398.3006,96969.21514,110807.144,119957.9752,73200.88405,169894.6801,99409.1866,129110.0067,198795.1675,155043.123,134576.585,178873.6344,118088.3305,197731.7283,151220.1605,164642.551,128351.7307,110413.6439,135175.0498,88696.65563,106315.2886,113598.8678,125041.8407,82153.20563,,91823.62427,97246.85565,128533.4635,106112.8575,117214.5483,,,99309.29999,166229.3094,148835.2955,121454.9456,,115151.3309,85907.83383,133730.9929,86899.8584,103580.2541,86111.59014,110379.0422
6/1/00,125233.459,109641.5382,197126.0763,158543.3938,173010.0995,153280.3404,137227.3153,177239.8113,97034.83409,110912.0858,120406.724,73394.45405,171343.1262,99833.78447,129624.794,200577.2962,155666.1533,135514.357,180717.1938,118847.096,198886.0247,151870.4935,166540.7648,129522.835,110670.8228,136107.7256,88955.91943,106858.845,114074.9243,125834.9787,82515.65614,,92217.93752,97796.97235,129224.0452,105990.3068,117855.913,,,99656.41232,167123.1998,149654.333,121839.7188,,115230.287,86337.46397,133930.2391,87163.82422,103980.0716,86403.27201,111128.7223
7/1/00,125953.5299,110274.7297,199595.6967,159684.4959,174336.0499,153718.8366,137890.3191,178154.0256,97511.6844,110981.0488,121000.9922,73648.82484,172795.1644,100284.6812,130127.4917,202686.2169,156149.0327,136371.4166,182585.1942,119732.2972,200040.3704,152640.1746,168342.8776,130811.02,110949.0153,137402.085,89293.16415,107396.1801,114536.8925,126636.4235,82890.97578,,92618.37777,98395.05171,129973.0767,105904.8455,118494.7772,,,99977.8251,168122.2571,150487.6697,122220.2274,,115321.7365,86734.23943,134346.0026,87418.96564,104370.9394,86732.1355,111934.8997
8/1/00,126802.6643,110919.6029,202174.1108,160683.3369,175947.2682,154187.1921,138527.1886,178998.7637,97997.72753,111185.0684,121657.7967,73981.56082,173393.2589,100715.111,130601.5429,205281.4642,156614.2617,137230.2166,184612.9933,120625.8398,201376.0749,153354.4392,169893.0127,132575.2783,111236.1411,138918.4505,89659.38182,107918.4336,115045.4458,127483.601,83240.36125,,92960.81285,99039.97087,131039.2334,105747.821,119155.2787,,,100268.2859,169330.909,151298.5706,122604.5284,,115540.5935,87112.13883,134541.5519,87709.22796,104679.9971,87108.34597,112773.5899
9/1/00,127730.6168,111588.0184,204758.5085,161570.903,177728.948,154581.0186,139231.5621,179767.6791,98377.53256,111452.6101,122315.7291,74279.50218,173916.21,101153.6786,131064.2366,208197.7065,157174.1822,138288.3582,186741.703,121479.8831,202696.3688,154084.4312,171057.4001,134399.1609,111579.1881,140547.5306,90002.41694,108431.5829,115570.4581,128349.4643,83557.9588,,93318.01137,99689.31848,132293.0525,105966.5787,119885.485,,,100579.8575,170603.5055,152047.1094,122926.2426,,115807.9281,87448.77822,134719.9368,88037.52831,105031.9825,87525.90676,113646.3802
10/1/00,128608.6104,112270.3664,207209.356,162522.2572,179530.5534,154976.6156,139910.2392,180437.2228,98842.51169,111739.2861,122959.9412,74623.13652,174357.9262,101574.281,131553.4054,211278.2868,157803.6767,139348.9634,188856.0429,122277.5243,204078.5022,154854.787,171354.0546,136265.7409,111911.4223,142421.9212,90353.12628,108927.2929,116087.2222,129249.3857,83841.7945,,93758.24909,100379.6119,133740.1883,106211.7703,120764.2213,,,100937.371,171996.1627,152715.5557,123236.8887,,116088.6369,87915.84951,134662.7458,88367.34032,105448.8063,87916.00198,114471.5373
11/1/00,129496.0495,112979.4387,209622.976,163687.7314,181137.7872,155375.4343,140563.8155,181114.6518,99401.16073,112070.0927,123558.621,75072.41252,174905.5139,102038.2876,132104.2318,214254.6421,158532.6638,140365.2115,190890.7336,123102.6327,204976.3139,155652.174,171646.7,137819.0393,112275.1071,144220.7011,90733.56456,109411.1292,116602.0026,130141.1034,84168.78358,,94200.14842,101128.9653,134844.6229,106251.8051,121657.5838,,,101342.0658,173402.9021,153536.9015,123484.3886,,116411.6958,88411.74611,134801.5623,88797.37137,105998.646,88328.70588,115463.2727
12/1/00,130403.486,113710.7862,211985.1744,164967.0539,182566.4138,155826.4415,141198.6909,181918.7564,100058.8796,112437.5395,124146.0082,75657.27771,175430.4275,102518.2348,132688.7729,217196.688,159237.983,141454.0598,192834.7547,123960.7884,205762.6394,156520.4919,172001.5675,139444.9662,112685.0805,146043.569,91166.19021,109872.2557,117041.5586,131084.8894,84559.26884,,94690.50709,101836.4675,135721.3001,106150.4532,122551.0656,,,101790.1743,174671.6997,154304.6029,123725.1883,,116743.6631,89043.72186,135137.9332,89283.90285,106597.2979,88758.39876,116549.4579
1/1/01,131317.2734,114379.5098,213983.478,166194.1141,183903.5514,156334.9017,141816.9732,182760.0292,100533.29,112656.9219,124683.9778,76368.89772,175919.1063,102991.9744,133292.4554,219855.1473,159961.0947,142522.7948,194784.4866,124771.689,206421.1298,157237.1455,172791.2313,140910.9722,113153.4292,147703.0208,91704.32923,110300.1129,117553.5438,132001.054,84993.84918,,95023.21661,102364.2959,136350.5908,106211.3307,123344.4506,,,102290.7297,175783.399,155155.7141,124115.545,,117250.5687,89618.94612,137516.1007,89859.15706,107261.1208,89258.24444,117886.2578
2/1/01,132127.8037,115043.8874,215959.3896,167215.3534,185378.6538,156765.641,142433.6959,183592.0645,100695.7186,112623.773,125209.6681,76814.25487,176200.1986,103425.1269,133742.6247,222282.6183,160728.4161,143592.7265,196621.2924,125397.9225,207072.2615,157888.5834,173600.022,142222.8674,113524.4154,149479.2216,92325.36071,110640.5073,118011.6305,132789.4706,85415.59271,,95323.39462,102729.3989,136981.1351,106430.1891,124231.7367,,,102714.6491,176706.5498,155850.7762,124511.2655,,117590.644,89964.80211,141279.624,90229.51974,107840.1674,89714.25932,119123.4281
